date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,day_name,is_weekend
20080606,2008-06-06,2008,2,6,June,23,6,5,Friday,0
20080607,2008-06-07,2008,2,6,June,23,7,6,Saturday,1
20080608,2008-06-08,2008,2,6,June,23,8,7,Sunday,1
20080609,2008-06-09,2008,2,6,June,24,9,1,Monday,0
20080610,2008-06-10,2008,2,6,June,24,10,2,Tuesday,0
20080611,2008-06-11,2008,2,6,June,24,11,3,Wednesday,0
20080612,2008-06-12,2008,2,6,June,24,12,4,Thursday,0
20080613,2008-06-13,2008,2,6,June,24,13,5,Friday,0
20080614,2008-06-14,2008,2,6,June,24,14,6,Saturday,1
20080615,2008-06-15,2008,2,6,June,24,15,7,Sunday,1
20080616,2008-06-16,2008,2,6,June,25,16,1,Monday,0
20080617,2008-06-17,2008,2,6,June,25,17,2,Tuesday,0
20080618,2008-06-18,2008,2,6,June,25,18,3,Wednesday,0
20080619,2008-06-19,2008,2,6,June,25,19,4,Thursday,0
20080620,2008-06-20,2008,2,6,June,25,20,5,Friday,0
20080621,2008-06-21,2008,2,6,June,25,21,6,Saturday,1
20080622,2008-06-22,2008,2,6,June,25,22,7,Sunday,1
20080623,2008-06-23,2008,2,6,June,26,23,1,Monday,0
20080624,2008-06-24,2008,2,6,June,26,24,2,Tuesday,0
20080625,2008-06-25,2008,2,6,June,26,25,3,Wednesday,0
20080626,2008-06-26,2008,2,6,June,26,26,4,Thursday,0
20080627,2008-06-27,2008,2,6,June,26,27,5,Friday,0
20080628,2008-06-28,2008,2,6,June,26,28,6,Saturday,1
20080629,2008-06-29,2008,2,6,June,26,29,7,Sunday,1
20080630,2008-06-30,2008,2,6,June,27,30,1,Monday,0
20080701,2008-07-01,2008,3,7,July,27,1,2,Tuesday,0
20080702,2008-07-02,2008,3,7,July,27,2,3,Wednesday,0
20080703,2008-07-03,2008,3,7,July,27,3,4,Thursday,0
20080704,2008-07-04,2008,3,7,July,27,4,5,Friday,0
20080705,2008-07-05,2008,3,7,July,27,5,6,Saturday,1
20080706,2008-07-06,2008,3,7,July,27,6,7,Sunday,1
20080707,2008-07-07,2008,3,7,July,28,7,1,Monday,0
20080708,2008-07-08,2008,3,7,July,28,8,2,Tuesday,0
20080709,2008-07-09,2008,3,7,July,28,9,3,Wednesday,0
20080710,2008-07-10,2008,3,7,July,28,10,4,Thursday,0
20080711,2008-07-11,2008,3,7,July,28,11,5,Friday,0
20080712,2008-07-12,2008,3,7,July,28,12,6,Saturday,1
20080713,2008-07-13,2008,3,7,July,28,13,7,Sunday,1
20080714,2008-07-14,2008,3,7,July,29,14,1,Monday,0
20080715,2008-07-15,2008,3,7,July,29,15,2,Tuesday,0
20080716,2008-07-16,2008,3,7,July,29,16,3,Wednesday,0
20080717,2008-07-17,2008,3,7,July,29,17,4,Thursday,0
20080718,2008-07-18,2008,3,7,July,29,18,5,Friday,0
20080719,2008-07-19,2008,3,7,July,29,19,6,Saturday,1
20080720,2008-07-20,2008,3,7,July,29,20,7,Sunday,1
20080721,2008-07-21,2008,3,7,July,30,21,1,Monday,0
20080722,2008-07-22,2008,3,7,July,30,22,2,Tuesday,0
20080723,2008-07-23,2008,3,7,July,30,23,3,Wednesday,0
20080724,2008-07-24,2008,3,7,July,30,24,4,Thursday,0
20080725,2008-07-25,2008,3,7,July,30,25,5,Friday,0
20080726,2008-07-26,2008,3,7,July,30,26,6,Saturday,1
20080727,2008-07-27,2008,3,7,July,30,27,7,Sunday,1
20080728,2008-07-28,2008,3,7,July,31,28,1,Monday,0
20080729,2008-07-29,2008,3,7,July,31,29,2,Tuesday,0
20080730,2008-07-30,2008,3,7,July,31,30,3,Wednesday,0
20080731,2008-07-31,2008,3,7,July,31,31,4,Thursday,0
20080801,2008-08-01,2008,3,8,August,31,1,5,Friday,0
20080802,2008-08-02,2008,3,8,August,31,2,6,Saturday,1
20080803,2008-08-03,2008,3,8,August,31,3,7,Sunday,1
20080804,2008-08-04,2008,3,8,August,32,4,1,Monday,0
20080805,2008-08-05,2008,3,8,August,32,5,2,Tuesday,0
20080806,2008-08-06,2008,3,8,August,32,6,3,Wednesday,0
20080807,2008-08-07,2008,3,8,August,32,7,4,Thursday,0
20080808,2008-08-08,2008,3,8,August,32,8,5,Friday,0
20080809,2008-08-09,2008,3,8,August,32,9,6,Saturday,1
20080810,2008-08-10,2008,3,8,August,32,10,7,Sunday,1
20080811,2008-08-11,2008,3,8,August,33,11,1,Monday,0
20080812,2008-08-12,2008,3,8,August,33,12,2,Tuesday,0
20080813,2008-08-13,2008,3,8,August,33,13,3,Wednesday,0
20080814,2008-08-14,2008,3,8,August,33,14,4,Thursday,0
20080815,2008-08-15,2008,3,8,August,33,15,5,Friday,0
20080816,2008-08-16,2008,3,8,August,33,16,6,Saturday,1
20080817,2008-08-17,2008,3,8,August,33,17,7,Sunday,1
20080818,2008-08-18,2008,3,8,August,34,18,1,Monday,0
20080819,2008-08-19,2008,3,8,August,34,19,2,Tuesday,0
20080820,2008-08-20,2008,3,8,August,34,20,3,Wednesday,0
20080821,2008-08-21,2008,3,8,August,34,21,4,Thursday,0
20080822,2008-08-22,2008,3,8,August,34,22,5,Friday,0
20080823,2008-08-23,2008,3,8,August,34,23,6,Saturday,1
20080824,2008-08-24,2008,3,8,August,34,24,7,Sunday,1
20080825,2008-08-25,2008,3,8,August,35,25,1,Monday,0
20080826,2008-08-26,2008,3,8,August,35,26,2,Tuesday,0
20080827,2008-08-27,2008,3,8,August,35,27,3,Wednesday,0
20080828,2008-08-28,2008,3,8,August,35,28,4,Thursday,0
20080829,2008-08-29,2008,3,8,August,35,29,5,Friday,0
20080830,2008-08-30,2008,3,8,August,35,30,6,Saturday,1
20080831,2008-08-31,2008,3,8,August,35,31,7,Sunday,1
20080901,2008-09-01,2008,3,9,September,36,1,1,Monday,0
20080902,2008-09-02,2008,3,9,September,36,2,2,Tuesday,0
20080903,2008-09-03,2008,3,9,September,36,3,3,Wednesday,0
20080904,2008-09-04,2008,3,9,September,36,4,4,Thursday,0
20080905,2008-09-05,2008,3,9,September,36,5,5,Friday,0
20080906,2008-09-06,2008,3,9,September,36,6,6,Saturday,1
20080907,2008-09-07,2008,3,9,September,36,7,7,Sunday,1
20080908,2008-09-08,2008,3,9,September,37,8,1,Monday,0
20080909,2008-09-09,2008,3,9,September,37,9,2,Tuesday,0
20080910,2008-09-10,2008,3,9,September,37,10,3,Wednesday,0
20080911,2008-09-11,2008,3,9,September,37,11,4,Thursday,0
20080912,2008-09-12,2008,3,9,September,37,12,5,Friday,0
20080913,2008-09-13,2008,3,9,September,37,13,6,Saturday,1
20080914,2008-09-14,2008,3,9,September,37,14,7,Sunday,1
20080915,2008-09-15,2008,3,9,September,38,15,1,Monday,0
20080916,2008-09-16,2008,3,9,September,38,16,2,Tuesday,0
20080917,2008-09-17,2008,3,9,September,38,17,3,Wednesday,0
20080918,2008-09-18,2008,3,9,September,38,18,4,Thursday,0
20080919,2008-09-19,2008,3,9,September,38,19,5,Friday,0
20080920,2008-09-20,2008,3,9,September,38,20,6,Saturday,1
20080921,2008-09-21,2008,3,9,September,38,21,7,Sunday,1
20080922,2008-09-22,2008,3,9,September,39,22,1,Monday,0
20080923,2008-09-23,2008,3,9,September,39,23,2,Tuesday,0
20080924,2008-09-24,2008,3,9,September,39,24,3,Wednesday,0
20080925,2008-09-25,2008,3,9,September,39,25,4,Thursday,0
20080926,2008-09-26,2008,3,9,September,39,26,5,Friday,0
20080927,2008-09-27,2008,3,9,September,39,27,6,Saturday,1
20080928,2008-09-28,2008,3,9,September,39,28,7,Sunday,1
20080929,2008-09-29,2008,3,9,September,40,29,1,Monday,0
20080930,2008-09-30,2008,3,9,September,40,30,2,Tuesday,0
20081001,2008-10-01,2008,4,10,October,40,1,3,Wednesday,0
20081002,2008-10-02,2008,4,10,October,40,2,4,Thursday,0
20081003,2008-10-03,2008,4,10,October,40,3,5,Friday,0
20081004,2008-10-04,2008,4,10,October,40,4,6,Saturday,1
20081005,2008-10-05,2008,4,10,October,40,5,7,Sunday,1
20081006,2008-10-06,2008,4,10,October,41,6,1,Monday,0
20081007,2008-10-07,2008,4,10,October,41,7,2,Tuesday,0
20081008,2008-10-08,2008,4,10,October,41,8,3,Wednesday,0
20081009,2008-10-09,2008,4,10,October,41,9,4,Thursday,0
20081010,2008-10-10,2008,4,10,October,41,10,5,Friday,0
20081011,2008-10-11,2008,4,10,October,41,11,6,Saturday,1
20081012,2008-10-12,2008,4,10,October,41,12,7,Sunday,1
20081013,2008-10-13,2008,4,10,October,42,13,1,Monday,0
20081014,2008-10-14,2008,4,10,October,42,14,2,Tuesday,0
20081015,2008-10-15,2008,4,10,October,42,15,3,Wednesday,0
20081016,2008-10-16,2008,4,10,October,42,16,4,Thursday,0
20081017,2008-10-17,2008,4,10,October,42,17,5,Friday,0
20081018,2008-10-18,2008,4,10,October,42,18,6,Saturday,1
20081019,2008-10-19,2008,4,10,October,42,19,7,Sunday,1
20081020,2008-10-20,2008,4,10,October,43,20,1,Monday,0
20081021,2008-10-21,2008,4,10,October,43,21,2,Tuesday,0
20081022,2008-10-22,2008,4,10,October,43,22,3,Wednesday,0
20081023,2008-10-23,2008,4,10,October,43,23,4,Thursday,0
20081024,2008-10-24,2008,4,10,October,43,24,5,Friday,0
